Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,DE_Admin_Region,LGA_Name,DE_Admin_AREA,Prep Total,Year 1 Total,Year 2 Total,Year 3 Total,Year 4 Total,Year 5 Total,Year 6 Total,Primary Ungraded Total,Primary Total,Year 7 Total,Year 8 Total,Year 9 Total,Year 10 Total,Year 11 Total,Year 12 Total,Secondary Ungraded Total,Secondary Total,Grand Total,Year,CENSUS_TYPE
Catholic,2,1041,St Anthony's School,Primary,O,NORTH-WESTERN VICTORIA,Darebin (C),North Eastern Melbourne,10.0,6.0,18.0,18.0,12.0,28.0,26.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,2024,F
Catholic,2,1045,St Joseph's School,Primary,O,SOUTH-EASTERN VICTORIA,Stonnington (C),Bayside Peninsula,31.0,40.0,18.0,32.0,21.0,12.0,19.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,2024,F
Catholic,2,1058,St Mary's School,Primary,O,SOUTH-EASTERN VICTORIA,Wellington (S),Outer Gippsland,14.0,7.0,8.0,5.0,10.0,7.0,4.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,2024,F
Catholic,2,1067,Holy Rosary School,Primary,O,NORTH-WESTERN VICTORIA,Greater Bendigo (C),Loddon Campaspe,36.0,45.0,43.0,44.0,44.0,44.0,45.0,0.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,2024,F
Catholic,2,1070,St Columba's School,Primary,O,SOUTH-EASTERN VICTORIA,Port Phillip (C),Bayside Peninsula,24.0,19.0,16.0,11.0,18.0,15.0,35.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,2024,F
Catholic,2,1072,Our Lady of the Rosary,Primary,O,NORTH-WESTERN VICTORIA,Macedon Ranges (S),Loddon Campaspe,43.0,42.0,38.0,47.0,39.0,51.0,40.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,2024,F
Catholic,2,1084,St Mary's School,Primary,O,NORTH-WESTERN VICTORIA,Swan Hill (RC),Mallee,87.0,88.0,103.0,72.0,76.0,91.0,89.0,0.0,606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.0,2024,F
Catholic,2,1097,St Mary's School,Primary,O,SOUTH-EASTERN VICTORIA,Mornington Peninsula (S),Bayside Peninsula,20.0,16.0,25.0,28.0,9.0,9.0,21.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,2024,F
Catholic,2,1099,St Brendan's School,Primary,O,SOUTH-WESTERN VICTORIA,Colac-Otway (S),Barwon,6.6,7.0,8.6,5.0,7.0,10.0,5.0,0.0,49.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2,2024,F
Catholic,2,1101,Our Lady of the Immaculate Conception School,Primary,O,SOUTH-WESTERN VICTORIA,Brimbank (C),Brimbank Melton,39.0,46.0,50.0,41.0,46.0,44.0,46.0,0.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,2024,F
